N;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;
1;9,555555555555555;4,961538461538462;6,0871143375680585;-5,332765600067188;-3,000851428140596;5,168248991007176;7,146328195296206;-7,950781466484323;-11,924511428930439;65,15331120176701;
2;-39,871924669498064;-44,48290119582471;-8,923307488375766;-31,463698740954758;21,82272244107634;4,633463847254988;9,929000978725357;-15,397727498204397;11,82154716453768;65,15331120176701;
3;-9,927736238088483;-43,10763707691871;-36,53279732308014;-10,22654822210563;36,31578902653724;2,190364014526323;1,335764914484453;-22,989840165774616;11,82154716453768;65,15331120176701;
4;5,461025818488448;-13,006495704099532;-39,47225696790089;3,8550726822200847;29,583315157344288;4,19081984699575;-1,5976041850273497;-22,989840165774616;11,82154716453768;65,15331120176701;
5;-3,660064333062198;-7,099184796776012;-33,035315724356884;-8,24159475419957;29,030918666564265;2,660252175547532;-1,5976041850273497;-22,989840165774616;11,82154716453768;65,15331120176701;
6;-7,01085690484329;-11,10090123873426;-33,24300223432014;-6,532021221333352;27,931352517932105;2,660252175547532;-1,5976041850273497;-22,989840165774616;11,82154716453768;65,15331120176701;
7;-5,751522644529422;-10,519967191125629;-32,493826540379594;-7,824073779658033;27,931352517932105;2,660252175547532;-1,5976041850273497;-22,989840165774616;11,82154716453768;65,15331120176701;
8;-6,217814650552081;-11,180054678976154;-32,57589884444741;-7,824073779658033;27,931352517932105;2,660252175547532;-1,5976041850273497;-22,989840165774616;11,82154716453768;65,15331120176701;
9;-5,952189763453122;-11,109556674199958;-32,57589884444741;-7,824073779658033;27,931352517932105;2,660252175547532;-1,5976041850273497;-22,989840165774616;11,82154716453768;65,15331120176701;
10;-5,9756890983785205;-11,109556674199958;-32,57589884444741;-7,824073779658033;27,931352517932105;2,660252175547532;-1,5976041850273497;-22,989840165774616;11,82154716453768;65,15331120176701;
11;-5,9756890983785205;-11,109556674199958;-32,57589884444741;-7,824073779658033;27,931352517932105;2,660252175547532;-1,5976041850273497;-22,989840165774616;11,82154716453768;65,15331120176701;
